variant,ticker,signal_date,expiry,strike,leg,historical_quote_listing_status,source_path,deliverables_status
original,MRVL,2026-06-15,2026-06-26,460.0,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/cf44e1d7402e5e4a0975368320ea8da0c61e631f2cdc063698c2648efb85d8d1.parquet,unverified
original,ORCL,2026-06-15,2026-06-26,235.0,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/cf44e1d7402e5e4a0975368320ea8da0c61e631f2cdc063698c2648efb85d8d1.parquet,unverified
original,ORCL,2026-06-15,2026-06-26,232.5,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/cf44e1d7402e5e4a0975368320ea8da0c61e631f2cdc063698c2648efb85d8d1.parquet,unverified
original,QCOM,2026-06-15,2026-06-26,305.0,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/cf44e1d7402e5e4a0975368320ea8da0c61e631f2cdc063698c2648efb85d8d1.parquet,unverified
original,QCOM,2026-06-15,2026-06-26,300.0,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/cf44e1d7402e5e4a0975368320ea8da0c61e631f2cdc063698c2648efb85d8d1.parquet,unverified
original,CRM,2026-06-16,2026-06-26,185.0,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/a01f70217cd64a65d7cb5e65b9c60ba39f663b717d3c8bc02b29347edc2fe91d.parquet,unverified
original,CRM,2026-06-16,2026-06-26,182.5,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/a01f70217cd64a65d7cb5e65b9c60ba39f663b717d3c8bc02b29347edc2fe91d.parquet,unverified
original,DE,2026-06-16,2026-06-26,632.5,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/a01f70217cd64a65d7cb5e65b9c60ba39f663b717d3c8bc02b29347edc2fe91d.parquet,unverified
original,DE,2026-06-16,2026-06-26,630.0,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/a01f70217cd64a65d7cb5e65b9c60ba39f663b717d3c8bc02b29347edc2fe91d.parquet,unverified
original,DG,2026-06-16,2026-06-26,129.0,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/a01f70217cd64a65d7cb5e65b9c60ba39f663b717d3c8bc02b29347edc2fe91d.parquet,unverified
original,DG,2026-06-16,2026-06-26,128.0,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/a01f70217cd64a65d7cb5e65b9c60ba39f663b717d3c8bc02b29347edc2fe91d.parquet,unverified
original,ON,2026-06-16,2026-06-26,152.5,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/a01f70217cd64a65d7cb5e65b9c60ba39f663b717d3c8bc02b29347edc2fe91d.parquet,unverified
original,ON,2026-06-16,2026-06-26,150.0,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/a01f70217cd64a65d7cb5e65b9c60ba39f663b717d3c8bc02b29347edc2fe91d.parquet,unverified
original,ROKU,2026-06-16,2026-06-26,155.0,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/a01f70217cd64a65d7cb5e65b9c60ba39f663b717d3c8bc02b29347edc2fe91d.parquet,unverified
original,ROKU,2026-06-16,2026-06-26,152.5,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/a01f70217cd64a65d7cb5e65b9c60ba39f663b717d3c8bc02b29347edc2fe91d.parquet,unverified
original,SE,2026-06-16,2026-06-26,101.0,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/a01f70217cd64a65d7cb5e65b9c60ba39f663b717d3c8bc02b29347edc2fe91d.parquet,unverified
original,SE,2026-06-16,2026-06-26,100.0,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/a01f70217cd64a65d7cb5e65b9c60ba39f663b717d3c8bc02b29347edc2fe91d.parquet,unverified
original,SERV,2026-06-16,2026-06-26,9.5,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/a01f70217cd64a65d7cb5e65b9c60ba39f663b717d3c8bc02b29347edc2fe91d.parquet,unverified
original,SERV,2026-06-16,2026-06-26,9.0,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/a01f70217cd64a65d7cb5e65b9c60ba39f663b717d3c8bc02b29347edc2fe91d.parquet,unverified
original,VRT,2026-06-16,2026-06-26,370.0,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/a01f70217cd64a65d7cb5e65b9c60ba39f663b717d3c8bc02b29347edc2fe91d.parquet,unverified
original,VRT,2026-06-16,2026-06-26,367.5,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/a01f70217cd64a65d7cb5e65b9c60ba39f663b717d3c8bc02b29347edc2fe91d.parquet,unverified
original,WDC,2026-06-16,2026-06-26,930.0,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/a01f70217cd64a65d7cb5e65b9c60ba39f663b717d3c8bc02b29347edc2fe91d.parquet,unverified
