date,right,variant,c,k50,k20,bombs,credits,total_credit,anchor_pnl,unpaired_short,unpaired_long,cash,book,day_pnl,u_open,u_lo,u_hi,u_last
2026-08-10,CALL,short3,0.25,225.0,250.0,3,"[0.25, 0.25, 0.25]",0.75,,0,0,0.75,3.75,4.5,223.48,216.81,223.75,217.55
2026-08-11,PUT,anchor,0.05,225.0,200.0,0,[],0.0,1.1,1,0,4.75,-4.05,0.7,221.56,216.47,221.56,217.47
2026-08-11,PUT,anchor,0.1,225.0,200.0,0,[],0.0,1.1,1,0,4.75,-4.05,0.7,221.56,216.47,221.56,217.47
2026-08-11,PUT,anchor,0.25,225.0,200.0,0,[],0.0,1.1,1,0,4.75,-4.05,0.7,221.56,216.47,221.56,217.47
2026-08-11,PUT,long_first,0.05,225.0,200.0,0,[],0.0,,0,1,-5.0,5.3,0.3,221.56,216.47,221.56,217.47
2026-08-11,PUT,long_first,0.1,225.0,200.0,0,[],0.0,,0,1,-5.0,5.3,0.3,221.56,216.47,221.56,217.47
2026-08-11,PUT,long_first,0.25,225.0,200.0,0,[],0.0,,0,1,-5.0,5.3,0.3,221.56,216.47,221.56,217.47
2026-08-11,PUT,ladder3,0.05,225.0,200.0,0,[],0.0,,0,3,-26.75,28.8,2.05,221.56,216.47,221.56,217.47
2026-08-11,PUT,ladder3,0.1,225.0,200.0,0,[],0.0,,0,3,-26.75,28.8,2.05,221.56,216.47,221.56,217.47
2026-08-11,PUT,ladder3,0.25,225.0,200.0,0,[],0.0,,0,3,-26.75,28.8,2.05,221.56,216.47,221.56,217.47
2026-08-11,PUT,short3,0.05,225.0,200.0,0,[],0.0,,3,0,20.65,-22.95,-2.3,221.56,216.47,221.56,217.47
2026-08-11,PUT,short3,0.1,225.0,200.0,0,[],0.0,,3,0,20.65,-22.95,-2.3,221.56,216.47,221.56,217.47
2026-08-11,PUT,short3,0.25,225.0,200.0,0,[],0.0,,3,0,20.65,-22.95,-2.3,221.56,216.47,221.56,217.47
2026-08-11,CALL,anchor,0.05,225.0,250.0,1,[0.05],0.05,-2.05,0,0,-2.0,0.65,-1.35,221.56,216.47,221.56,217.47
2026-08-11,CALL,anchor,0.1,225.0,250.0,1,[0.1],0.1,-2.05,0,0,-1.95,0.65,-1.31,221.56,216.47,221.56,217.47
2026-08-11,CALL,anchor,0.25,225.0,250.0,1,[0.25],0.25,-2.05,0,0,-1.8,0.65,-1.16,221.56,216.47,221.56,217.47
2026-08-11,CALL,long_first,0.05,225.0,250.0,0,[],0.0,,0,1,-3.55,2.46,-1.09,221.56,216.47,221.56,217.47
2026-08-11,CALL,long_first,0.1,225.0,250.0,0,[],0.0,,0,1,-3.55,2.46,-1.09,221.56,216.47,221.56,217.47
2026-08-11,CALL,long_first,0.25,225.0,250.0,0,[],0.0,,0,1,-3.55,2.46,-1.09,221.56,216.47,221.56,217.47
2026-08-11,CALL,ladder3,0.05,225.0,250.0,0,[],0.0,,0,3,-19.4,14.66,-4.74,221.56,216.47,221.56,217.47
2026-08-11,CALL,ladder3,0.1,225.0,250.0,0,[],0.0,,0,3,-19.4,14.66,-4.74,221.56,216.47,221.56,217.47
2026-08-11,CALL,ladder3,0.25,225.0,250.0,0,[],0.0,,0,3,-19.4,14.66,-4.74,221.56,216.47,221.56,217.47
2026-08-11,CALL,short3,0.05,225.0,250.0,3,"[0.05, 0.05, 0.05]",0.15,,0,0,0.15,3.62,3.77,221.56,216.47,221.56,217.47
2026-08-11,CALL,short3,0.1,225.0,250.0,3,"[0.1, 0.1, 0.1]",0.3,,0,0,0.3,3.62,3.92,221.56,216.47,221.56,217.47
2026-08-11,CALL,short3,0.25,225.0,250.0,3,"[0.25, 0.25, 0.25]",0.75,,0,0,0.75,3.62,4.37,221.56,216.47,221.56,217.47
2026-08-12,PUT,anchor,0.05,225.0,200.0,0,[],0.0,-1.3,1,0,1.85,-2.86,-1.01,221.59,220.63,224.96,224.12
2026-08-12,PUT,anchor,0.1,225.0,200.0,0,[],0.0,-1.3,1,0,1.85,-2.86,-1.01,221.59,220.63,224.96,224.12
2026-08-12,PUT,anchor,0.25,225.0,200.0,0,[],0.0,-1.3,1,0,1.85,-2.86,-1.01,221.59,220.63,224.96,224.12
2026-08-12,PUT,long_first,0.05,225.0,200.0,0,[],0.0,,0,1,-4.4,3.8,-0.6,221.59,220.63,224.96,224.12
2026-08-12,PUT,long_first,0.1,225.0,200.0,0,[],0.0,,0,1,-4.4,3.8,-0.6,221.59,220.63,224.96,224.12
2026-08-12,PUT,long_first,0.25,225.0,200.0,0,[],0.0,,0,1,-4.4,3.8,-0.6,221.59,220.63,224.96,224.12
2026-08-12,PUT,ladder3,0.05,225.0,200.0,0,[],0.0,,0,3,-24.45,21.65,-2.8,221.59,220.63,224.96,224.12
2026-08-12,PUT,ladder3,0.1,225.0,200.0,0,[],0.0,,0,3,-24.45,21.65,-2.8,221.59,220.63,224.96,224.12
2026-08-12,PUT,ladder3,0.25,225.0,200.0,0,[],0.0,,0,3,-24.45,21.65,-2.8,221.59,220.63,224.96,224.12
2026-08-12,PUT,short3,0.05,225.0,200.0,0,[],0.0,,3,0,18.5,-16.96,1.54,221.59,220.63,224.96,224.12
2026-08-12,PUT,short3,0.1,225.0,200.0,0,[],0.0,,3,0,18.5,-16.96,1.54,221.59,220.63,224.96,224.12
2026-08-12,PUT,short3,0.25,225.0,200.0,0,[],0.0,,3,0,18.5,-16.96,1.54,221.59,220.63,224.96,224.12
2026-08-12,CALL,anchor,0.05,225.0,250.0,0,[],0.0,1.1,1,0,3.56,-3.1,0.46,221.59,220.63,224.96,224.12
2026-08-12,CALL,anchor,0.1,225.0,250.0,0,[],0.0,1.1,1,0,3.56,-3.1,0.46,221.59,220.63,224.96,224.12
2026-08-12,CALL,anchor,0.25,225.0,250.0,0,[],0.0,1.1,1,0,3.56,-3.1,0.46,221.59,220.63,224.96,224.12
2026-08-12,CALL,long_first,0.05,225.0,250.0,0,[],0.0,,0,1,-3.45,3.95,0.5,221.59,220.63,224.96,224.12
2026-08-12,CALL,long_first,0.1,225.0,250.0,0,[],0.0,,0,1,-3.45,3.95,0.5,221.59,220.63,224.96,224.12
2026-08-12,CALL,long_first,0.25,225.0,250.0,0,[],0.0,,0,1,-3.45,3.95,0.5,221.59,220.63,224.96,224.12
2026-08-12,CALL,ladder3,0.05,225.0,250.0,0,[],0.0,,0,3,-19.25,21.65,2.4,221.59,220.63,224.96,224.12
2026-08-12,CALL,ladder3,0.1,225.0,250.0,0,[],0.0,,0,3,-19.25,21.65,2.4,221.59,220.63,224.96,224.12
2026-08-12,CALL,ladder3,0.25,225.0,250.0,0,[],0.0,,0,3,-19.25,21.65,2.4,221.59,220.63,224.96,224.12
2026-08-12,CALL,short3,0.05,225.0,250.0,0,[],0.0,,3,0,14.41,-17.25,-2.84,221.59,220.63,224.96,224.12
