date,right,variant,c,k50,k20,bombs,credits,total_credit,anchor_pnl,unpaired_short,unpaired_long,cash,book,day_pnl,u_open,u_lo,u_hi,u_last
2026-08-12,CALL,short3,0.05,222.5,232.5,0,[],0.0,,3,0,16.95,-20.55,-3.6,221.59,220.63,224.96,224.12
2026-08-12,CALL,short3,0.1,222.5,232.5,0,[],0.0,,3,0,16.95,-20.55,-3.6,221.59,220.63,224.96,224.12
2026-08-13,PUT,anchor,0.05,227.5,217.5,0,[],0.0,0.2,1,0,1.69,-1.53,0.16,224.48,223.78,226.75,225.36
2026-08-13,PUT,anchor,0.1,227.5,217.5,0,[],0.0,0.2,1,0,1.69,-1.53,0.16,224.48,223.78,226.75,225.36
2026-08-13,PUT,long_first,0.05,227.5,217.5,0,[],0.0,,0,1,-2.12,2.17,0.05,224.48,223.78,226.75,225.36
2026-08-13,PUT,long_first,0.1,227.5,217.5,0,[],0.0,,0,1,-2.12,2.17,0.05,224.48,223.78,226.75,225.36
2026-08-13,PUT,ladder3,0.05,227.5,217.5,0,[],0.0,,0,3,-27.87,28.42,0.55,224.48,223.78,226.75,225.36
2026-08-13,PUT,ladder3,0.1,227.5,217.5,0,[],0.0,,0,3,-27.87,28.42,0.55,224.48,223.78,226.75,225.36
2026-08-13,PUT,short3,0.05,227.5,217.5,0,[],0.0,,3,0,18.99,-20.23,-1.24,224.48,223.78,226.75,225.36
2026-08-13,PUT,short3,0.1,227.5,217.5,0,[],0.0,,3,0,18.99,-20.23,-1.24,224.48,223.78,226.75,225.36
2026-08-13,CALL,anchor,0.05,227.5,237.5,1,[0.05],0.05,-0.75,0,0,-0.7,0.36,-0.34,224.48,223.78,226.75,225.36
2026-08-13,CALL,anchor,0.1,227.5,237.5,0,[],0.0,-0.75,1,0,0.31,-0.77,-0.46,224.48,223.78,226.75,225.36
2026-08-13,CALL,long_first,0.05,227.5,237.5,0,[],0.0,,0,1,-1.53,1.11,-0.42,224.48,223.78,226.75,225.36
2026-08-13,CALL,long_first,0.1,227.5,237.5,0,[],0.0,,0,1,-1.53,1.11,-0.42,224.48,223.78,226.75,225.36
2026-08-13,CALL,ladder3,0.05,227.5,237.5,0,[],0.0,,0,3,-22.73,20.26,-2.47,224.48,223.78,226.75,225.36
2026-08-13,CALL,ladder3,0.1,227.5,237.5,0,[],0.0,,0,3,-22.73,20.26,-2.47,224.48,223.78,226.75,225.36
2026-08-13,CALL,short3,0.05,227.5,237.5,1,[0.05],0.05,,2,0,14.0,-12.19,1.81,224.48,223.78,226.75,225.36
2026-08-13,CALL,short3,0.1,227.5,237.5,0,[],0.0,,3,0,15.01,-13.32,1.69,224.48,223.78,226.75,225.36
2026-08-14,PUT,anchor,0.05,227.5,217.5,0,[],0.0,0.4,1,0,1.47,-1.09,0.38,226.73,224.63,227.22,225.13
2026-08-14,PUT,anchor,0.1,227.5,217.5,0,[],0.0,0.4,1,0,1.47,-1.09,0.38,226.73,224.63,227.22,225.13
2026-08-14,PUT,long_first,0.05,227.5,217.5,0,[],0.0,,0,1,-1.61,1.65,0.04,226.73,224.63,227.22,225.13
2026-08-14,PUT,long_first,0.1,227.5,217.5,0,[],0.0,,0,1,-1.61,1.65,0.04,226.73,224.63,227.22,225.13
2026-08-14,PUT,ladder3,0.05,227.5,217.5,0,[],0.0,,0,3,-26.06,27.5,1.44,226.73,224.63,227.22,225.13
2026-08-14,PUT,ladder3,0.1,227.5,217.5,0,[],0.0,,0,3,-26.06,27.5,1.44,226.73,224.63,227.22,225.13
2026-08-14,PUT,short3,0.05,227.5,217.5,0,[],0.0,,3,0,17.12,-19.09,-1.97,226.73,224.63,227.22,225.13
2026-08-14,PUT,short3,0.1,227.5,217.5,0,[],0.0,,3,0,17.12,-19.09,-1.97,226.73,224.63,227.22,225.13
2026-08-14,CALL,anchor,0.05,227.5,235.0,1,[0.05],0.05,-1.14,0,0,-1.09,0.42,-0.68,226.73,224.63,227.22,225.13
2026-08-14,CALL,anchor,0.1,227.5,235.0,1,[0.1],0.1,-1.14,0,0,-1.04,0.42,-0.62,226.73,224.63,227.22,225.13
2026-08-14,CALL,long_first,0.05,227.5,235.0,0,[],0.0,,0,1,-1.91,1.14,-0.77,226.73,224.63,227.22,225.13
2026-08-14,CALL,long_first,0.1,227.5,235.0,0,[],0.0,,0,1,-1.91,1.14,-0.77,226.73,224.63,227.22,225.13
2026-08-14,CALL,ladder3,0.05,227.5,235.0,0,[],0.0,,0,3,-27.51,23.39,-4.12,226.73,224.63,227.22,225.13
2026-08-14,CALL,ladder3,0.1,227.5,235.0,0,[],0.0,,0,3,-27.51,23.39,-4.12,226.73,224.63,227.22,225.13
2026-08-14,CALL,short3,0.05,227.5,235.0,1,[0.05],0.05,,2,0,17.45,-14.29,3.16,226.73,224.63,227.22,225.13
2026-08-14,CALL,short3,0.1,227.5,235.0,1,[0.1],0.1,,2,0,17.5,-14.29,3.21,226.73,224.63,227.22,225.13
