ticker,start_date,end_date,status,available_sessions,unavailable_sessions,row_count,error,captured_at_utc
INTC,2026-08-29,2026-09-02,success,3,0,84478,,2026-09-03T11:55:01.237027+00:00
IONQ,2026-08-25,2026-09-02,success,4,3,112675,,2026-09-03T11:55:18.958441+00:00
IREN,2026-08-25,2026-09-02,success,4,3,112888,,2026-09-03T11:55:40.573625+00:00
JBLU,2026-08-29,2026-09-02,success,3,0,84256,,2026-09-03T11:55:57.525787+00:00
JD,2026-08-29,2026-09-02,success,3,0,84261,,2026-09-03T11:56:18.821906+00:00
JNJ,2026-08-29,2026-09-02,success,3,0,84271,,2026-09-03T11:56:38.268278+00:00
JPM,2026-08-25,2026-09-02,success,4,3,112353,,2026-09-03T11:57:02.371107+00:00
KTOS,2026-08-26,2026-09-02,success,4,2,112277,,2026-09-03T11:57:24.375213+00:00
LCID,2026-08-29,2026-09-02,success,0,3,0,,2026-09-03T11:57:36.716517+00:00
LEN,2026-08-28,2026-09-02,success,4,0,112131,,2026-09-03T11:57:57.561476+00:00
LI,2026-08-29,2026-09-02,success,3,0,84005,,2026-09-03T11:58:17.044133+00:00
LLY,2026-08-29,2026-09-02,success,3,0,84230,,2026-09-03T11:58:37.946253+00:00
LMND,2026-08-29,2026-09-02,success,3,0,84258,,2026-09-03T11:58:55.253294+00:00
LMT,2026-08-27,2026-09-02,success,5,0,140109,,2026-09-03T11:59:20.445472+00:00
LRCX,2026-08-29,2026-09-02,success,3,0,84251,,2026-09-03T11:59:38.618944+00:00
LUMN,2026-08-29,2026-09-02,success,3,0,84197,,2026-09-03T11:59:58.281343+00:00
LUNR,2026-08-29,2026-09-02,success,3,0,84271,,2026-09-03T12:00:14.459721+00:00
LUV,2026-08-29,2026-09-02,success,3,0,84229,,2026-09-03T12:00:29.631219+00:00
LVS,2026-08-25,2026-09-02,success,4,3,112014,,2026-09-03T12:00:51.143436+00:00
LYFT,2026-08-29,2026-09-02,success,3,0,84236,,2026-09-03T12:01:08.247617+00:00
M,2026-08-29,2026-09-02,success,3,0,84242,,2026-09-03T12:01:27.653061+00:00
MA,2026-08-26,2026-09-02,success,4,2,112248,,2026-09-03T12:01:48.905819+00:00
MARA,2026-09-01,2026-09-02,success,2,0,56205,,2026-09-03T12:02:04.106805+00:00
MELI,2026-08-29,2026-09-02,success,3,0,84193,,2026-09-03T12:02:22.458704+00:00
MGM,2026-08-29,2026-09-02,success,3,0,82753,,2026-09-03T12:02:39.218672+00:00
MMM,2026-08-25,2026-09-02,success,4,3,112002,,2026-09-03T12:03:02.496369+00:00
MRK,2026-08-29,2026-09-02,success,3,0,84185,,2026-09-03T12:03:22.203301+00:00
MRNA,2026-08-27,2026-09-02,success,5,0,140646,,2026-09-03T12:03:49.556380+00:00
MRVL,2026-08-26,2026-09-02,success,4,2,113020,,2026-09-03T12:04:09.529251+00:00
MS,2026-08-29,2026-09-02,success,3,0,84220,,2026-09-03T12:04:28.233963+00:00
MSTR,2026-08-29,2026-09-02,success,3,0,84530,,2026-09-03T12:04:45.074394+00:00
MU,2026-08-28,2026-09-02,success,4,0,112981,,2026-09-03T12:05:08.301466+00:00
NBIS,2026-08-25,2026-09-02,success,4,3,112514,,2026-09-03T12:05:30.651648+00:00
NCLH,2026-08-25,2026-09-02,success,4,3,112364,,2026-09-03T12:05:54.231871+00:00
NEE,2026-08-25,2026-09-02,success,4,3,112344,,2026-09-03T12:06:13.703467+00:00
NEM,2026-08-29,2026-09-02,success,3,0,84265,,2026-09-03T12:06:33.883990+00:00
NET,2026-08-27,2026-09-02,success,5,0,140441,,2026-09-03T12:07:00.827434+00:00
NOK,2026-08-29,2026-09-02,success,3,0,84230,,2026-09-03T12:07:16.772155+00:00
NVAX,2026-08-26,2026-09-02,success,4,2,112346,,2026-09-03T12:07:36.816190+00:00
NVDA,2026-08-25,2026-09-02,success,4,3,113279,,2026-09-03T12:08:00.765269+00:00
NVO,2026-08-29,2026-09-02,success,3,0,84274,,2026-09-03T12:08:19.191527+00:00
OKLO,2026-08-25,2026-09-02,success,4,3,112429,,2026-09-03T12:08:43.380990+00:00
ON,2026-08-25,2026-09-02,success,4,3,112338,,2026-09-03T12:09:04.021450+00:00
ONON,2026-08-25,2026-09-02,success,4,3,112229,,2026-09-03T12:09:26.664796+00:00
OXY,2026-08-25,2026-09-02,success,4,3,112314,,2026-09-03T12:09:50.316706+00:00
PEP,2026-08-27,2026-09-02,success,5,0,140457,,2026-09-03T12:10:15.018005+00:00
PG,2026-08-25,2026-09-02,success,4,3,112353,,2026-09-03T12:10:35.967282+00:00
PINS,2026-08-25,2026-09-02,success,4,3,112308,,2026-09-03T12:10:54.167066+00:00
PLTR,2026-08-25,2026-09-02,success,4,3,112600,,2026-09-03T12:11:16.472604+00:00
PYPL,2026-08-29,2026-09-02,success,3,0,84277,,2026-09-03T12:11:36.034979+00:00
QCOM,2026-08-25,2026-09-02,success,4,3,112407,,2026-09-03T12:11:55.552278+00:00
QS,2026-08-29,2026-09-02,success,0,3,0,,2026-09-03T12:12:04.719985+00:00
QUBT,2026-08-25,2026-09-02,success,4,3,112370,,2026-09-03T12:12:25.297957+00:00
RBLX,2026-08-25,2026-09-02,success,4,3,112342,,2026-09-03T12:12:49.206819+00:00
RCL,2026-08-25,2026-09-02,success,4,3,112205,,2026-09-03T12:13:11.566480+00:00
RDDT,2026-08-25,2026-09-02,success,4,3,112308,,2026-09-03T12:13:34.220693+00:00
RDW,2026-08-29,2026-09-02,success,3,0,84277,,2026-09-03T12:13:49.380525+00:00
RGTI,2026-08-25,2026-09-02,success,4,3,112385,,2026-09-03T12:14:10.405240+00:00
RH,2026-09-02,2026-09-02,success,1,0,27300,,2026-09-03T12:14:23.567045+00:00
RIOT,2026-08-29,2026-09-02,success,3,0,84292,,2026-09-03T12:14:40.958610+00:00
RIVN,2026-08-26,2026-09-02,success,4,2,112399,,2026-09-03T12:15:02.920909+00:00
ROKU,2026-08-26,2026-09-02,success,4,2,112290,,2026-09-03T12:15:24.156906+00:00
RTX,2026-08-25,2026-09-02,success,4,3,112327,,2026-09-03T12:15:48.963137+00:00
RUN,2026-08-25,2026-09-02,success,4,3,112268,,2026-09-03T12:16:10.888984+00:00
SBUX,2026-08-25,2026-09-02,success,4,3,112335,,2026-09-03T12:16:33.976607+00:00
SCHW,2026-08-25,2026-09-02,success,4,3,112074,,2026-09-03T12:16:56.740012+00:00
SE,2026-08-26,2026-09-02,success,4,2,112320,,2026-09-03T12:17:18.312287+00:00
SEDG,2026-08-26,2026-09-02,success,4,2,112317,,2026-09-03T12:17:37.093527+00:00
SHOP,2026-08-25,2026-09-02,success,4,3,112352,,2026-09-03T12:18:01.705612+00:00
SLB,2026-08-25,2026-09-02,success,4,3,112227,,2026-09-03T12:18:24.405862+00:00
SMCI,2026-08-29,2026-09-02,success,3,0,84528,,2026-09-03T12:18:41.509005+00:00
SMR,2026-08-27,2026-09-02,success,5,0,140414,,2026-09-03T12:19:06.387471+00:00
SOFI,2026-08-25,2026-09-02,success,4,3,112397,,2026-09-03T12:19:28.405427+00:00
SOUN,2026-08-29,2026-09-02,success,3,0,84290,,2026-09-03T12:19:48.397572+00:00
SPOT,2026-08-27,2026-09-02,success,5,0,140271,,2026-09-03T12:20:14.064167+00:00
STX,2026-08-29,2026-09-02,success,3,0,84285,,2026-09-03T12:20:34.609746+00:00
T,2026-08-25,2026-09-02,success,4,3,112258,,2026-09-03T12:20:52.928205+00:00
TEVA,2026-08-29,2026-09-02,success,3,0,83715,,2026-09-03T12:21:10.401832+00:00
TFC,2026-08-25,2026-09-02,success,4,3,111330,,2026-09-03T12:21:32.563281+00:00
TGT,2026-08-25,2026-09-02,success,4,3,112351,,2026-09-03T12:21:57.472585+00:00
TOST,2026-08-25,2026-09-02,success,4,3,112182,,2026-09-03T12:22:19.534245+00:00
TSM,2026-08-25,2026-09-02,success,4,3,112371,,2026-09-03T12:22:43.112743+00:00
TXN,2026-08-27,2026-09-02,success,5,0,140332,,2026-09-03T12:23:08.808076+00:00
U,2026-08-29,2026-09-02,success,3,0,84263,,2026-09-03T12:23:25.613550+00:00
UAL,2026-08-25,2026-09-02,success,4,3,112355,,2026-09-03T12:23:49.759000+00:00
UBER,2026-08-28,2026-09-02,success,4,0,112374,,2026-09-03T12:24:10.716729+00:00
UNH,2026-08-28,2026-09-02,success,4,0,112360,,2026-09-03T12:24:36.074981+00:00
UPS,2026-08-25,2026-09-02,success,4,3,112115,,2026-09-03T12:24:54.546231+00:00
UPST,2026-08-25,2026-09-02,success,4,3,112349,,2026-09-03T12:25:19.512927+00:00
V,2026-08-25,2026-09-02,success,4,3,112309,,2026-09-03T12:25:40.509638+00:00
VFC,2026-08-29,2026-09-02,success,3,0,83271,,2026-09-03T12:25:56.706258+00:00
VRT,2026-08-25,2026-09-02,success,4,3,112133,,2026-09-03T12:26:20.295101+00:00
VST,2026-08-25,2026-09-02,success,4,3,112391,,2026-09-03T12:26:44.949543+00:00
W,2026-08-25,2026-09-02,success,4,3,111969,,2026-09-03T12:27:07.855062+00:00
WBD,2026-08-29,2026-09-02,success,3,0,84055,,2026-09-03T12:27:27.690909+00:00
WFC,2026-08-25,2026-09-02,success,4,3,111896,,2026-09-03T12:27:48.280501+00:00
WMT,2026-08-25,2026-09-02,success,4,3,112411,,2026-09-03T12:28:08.444057+00:00
WULF,2026-08-25,2026-09-02,success,4,3,112372,,2026-09-03T12:28:31.313848+00:00
WYNN,2026-08-25,2026-09-02,success,4,3,111894,,2026-09-03T12:28:53.028541+00:00
XPEV,2026-08-29,2026-09-02,success,3,0,84211,,2026-09-03T12:29:11.204209+00:00
XYZ,2026-08-25,2026-09-02,success,4,3,112257,,2026-09-03T12:29:35.413419+00:00
