ticker,signal_date,entry_date,reference_month,era,common_nonoverlap,outside_prior_six,horizon,economic,mechanical,paired_observed,difference,both_entered,both_complete_worst_cover_difference
CRM,2026-04-22,2026-04-23,2026-04,2026,False,False,2,0.0,-7.3,True,7.3,False,
CRM,2026-04-22,2026-04-23,2026-04,2026,False,False,4,0.0,-5.300000000000001,True,5.300000000000001,False,
CRM,2026-04-23,2026-04-24,2026-04,2026,False,False,2,0.0,-39.3,True,39.3,False,
CRM,2026-04-23,2026-04-24,2026-04,2026,False,False,4,0.0,72.7,True,-72.7,False,
CRM,2026-05-28,2026-05-29,2026-05,2026,True,False,2,0.0,-523.3,True,523.3,False,
CRM,2026-05-28,2026-05-29,2026-05,2026,True,False,4,0.0,363.70000000000005,True,-363.70000000000005,False,
CRM,2026-05-29,2026-06-01,2026-06,2026,False,False,2,0.0,475.70000000000005,True,-475.70000000000005,False,
CRM,2026-05-29,2026-06-01,2026-06,2026,False,False,4,0.0,495.70000000000005,True,-495.70000000000005,False,
CRM,2026-06-01,2026-06-02,2026-06,2026,False,False,2,27.699999999999996,8.7,True,18.999999999999996,True,7.999999999999999
CRM,2026-06-01,2026-06-02,2026-06,2026,False,False,4,36.7,17.699999999999996,True,19.000000000000007,True,7.999999999999999
CRM,2026-06-02,2026-06-03,2026-06,2026,False,False,2,0.0,-2.3,True,2.3,False,
CRM,2026-06-02,2026-06-03,2026-06,2026,False,False,4,0.0,3.7,True,-3.7,False,
CRM,2026-06-03,2026-06-04,2026-06,2026,False,False,2,0.0,32.7,True,-32.7,False,
CRM,2026-06-03,2026-06-04,2026-06,2026,False,False,4,0.0,34.7,True,-34.7,False,
CRM,2026-06-04,2026-06-05,2026-06,2026,False,False,2,0.0,18.7,True,-18.7,False,
CRM,2026-06-04,2026-06-05,2026-06,2026,False,False,4,0.0,17.7,True,-17.7,False,
CRM,2026-06-05,2026-06-08,2026-06,2026,True,False,2,0.0,17.699999999999996,True,-17.699999999999996,False,
CRM,2026-06-05,2026-06-08,2026-06,2026,True,False,4,0.0,-12.300000000000004,True,12.300000000000004,False,
CRM,2026-06-08,2026-06-09,2026-06,2026,False,False,2,0.0,7.700000000000002,True,-7.700000000000002,False,
CRM,2026-06-08,2026-06-09,2026-06,2026,False,False,4,0.0,9.7,True,-9.7,False,
CRM,2026-06-09,2026-06-10,2026-06,2026,False,False,2,0.0,11.699999999999994,True,-11.699999999999994,False,
