ticker,date,selector,reason,strike,expiry,gross,maximum_gross,net,maximum_net,wing,shock,rally_loss,ratio,exceeds_bound
ORCL,2025-12-18,mechanical,selected,195.0,2025-12-26,2.513554331570153,61.0,-4.786445668429851,53.699999999999996,1.946668896441317,0.48666722411032926,23.56918180804536,-0.20308068847752675,False
ORCL,2025-12-19,economic,selected,250.0,2026-01-16,12.806757945438019,59.0,6.506757945438027,52.70000000000001,9.610228665969418,2.4025571664923544,9.125571342934059,0.7130247193208585,False
ORCL,2025-12-19,mechanical,selected,220.0,2026-01-02,8.631934311023924,73.0,-2.668065688976073,61.7,5.8746154100309536,1.4686538525077384,18.068538197206756,-0.14766361616284673,False
ORCL,2025-12-22,economic,selected,270.0,2026-01-16,8.986412170407313,30.0,3.6864121704073165,24.700000000000003,14.711258973220598,3.6778147433051496,4.448674627424143,0.8286540327499318,False
ORCL,2025-12-22,mechanical,selected,220.0,2026-01-02,6.5729032595123105,69.0,-0.7270967404876814,61.7,4.319520322972659,1.0798800807431648,21.77450626428814,-0.033392111474884544,False
ORCL,2025-12-23,economic,selected,240.0,2026-01-16,8.178445374205204,52.0,2.878445374205202,46.7,5.757987186923275,1.4394967967308188,11.788260569188672,0.24417897426942534,False
ORCL,2025-12-23,mechanical,selected,212.5,2026-01-02,2.9150514540782493,63.0,-8.384948545921748,51.70000000000001,1.8393919731702124,0.4598479932925531,23.76123387476164,-0.352883549318874,False
ORCL,2025-12-24,economic,no_positive_net_scenario,,,,,,,,,,,
ORCL,2025-12-24,mechanical,selected,215.0,2026-01-02,4.148905391602492,50.0,-1.1510946083975098,44.7,3.144303258413922,0.7860758146034805,19.93323203793789,-0.05774751461311898,False
ORCL,2025-12-26,economic,selected,250.0,2026-01-16,5.927879637080472,28.999999999999996,1.6278796370804764,24.700000000000003,9.236041831131237,2.3090104577828092,5.303949518478466,0.30691838815755984,False
ORCL,2025-12-26,mechanical,selected,225.0,2026-01-09,4.193989946052118,54.0,-3.1060100539478857,46.7,2.9528006126572692,0.7382001531643173,18.02603143093759,-0.17230692545099666,False
ORCL,2025-12-29,economic,no_positive_net_scenario,,,,,,,,,,,
ORCL,2025-12-29,mechanical,selected,215.0,2026-01-09,0.7806139202997134,73.0,-11.519386079700284,60.7,0.4853603961305186,0.12134009903262966,22.790087467963524,-0.50545598369876,False
ORCL,2025-12-30,economic,selected,240.0,2026-01-23,7.567849356495658,54.0,0.26784935649565433,46.7,4.772727607127419,1.1931819017818548,13.102099503403581,0.020443239377481,False
ORCL,2025-12-30,mechanical,selected,217.5,2026-01-09,2.7103976504468963,59.0,-4.589602349553095,51.70000000000001,1.9892341316602724,0.4973085329150681,20.477370450845893,-0.22413045466799691,False
ORCL,2025-12-31,economic,no_positive_net_scenario,,,,,,,,,,,
ORCL,2025-12-31,mechanical,selected,212.5,2026-01-09,1.1364354284608054,61.0,-4.1635645715391965,55.7,0.7913364835066605,0.19783412087666513,22.948642533219264,-0.1814296669405276,False
ORCL,2026-01-02,economic,no_positive_net_scenario,,,,,,,,,,,
ORCL,2026-01-02,mechanical,selected,212.5,2026-01-09,1.1582709865070648,44.0,-4.141729013492936,38.7,1.0492698682168067,0.26231746705420167,19.364494339032678,-0.21388263184050846,False
ORCL,2026-01-05,economic,no_positive_net_scenario,,,,,,,,,,,
ORCL,2026-01-05,mechanical,selected,217.5,2026-01-16,2.441581511645688,70.0,-6.858418488354306,60.7,1.746711229374559,0.43667780734363976,19.75716286955756,-0.3471357974642182,False
ORCL,2026-01-06,economic,no_positive_net_scenario,,,,,,,,,,,
ORCL,2026-01-06,mechanical,selected,215.0,2026-01-16,2.83566696328153,76.0,-3.4643330367184726,69.7,1.8624935284898614,0.46562338212246535,22.57145939550268,-0.15348289962184433,False
ORCL,2026-01-07,economic,no_positive_net_scenario,,,,,,,,,,,
ORCL,2026-01-07,mechanical,selected,212.5,2026-01-16,2.950499768169574,73.0,-3.3495002318304286,66.7,2.053001950075312,0.513250487518828,22.881375730130774,-0.14638543902846374,False
ORCL,2026-01-08,economic,no_positive_net_scenario,,,,,,,,,,,
ORCL,2026-01-08,mechanical,selected,207.5,2026-01-16,2.1474235296504895,60.0,-6.152576470349504,51.70000000000001,1.6467832223477807,0.4116958055869452,21.56272452036252,-0.28533390873400005,False
ORCL,2026-01-09,economic,selected,222.5,2026-01-16,4.900244893088331,40.0,0.6002448930883304,35.7,5.489048720691331,1.3722621801728327,14.507455384142437,0.041374926008349876,False
ORCL,2026-01-09,mechanical,selected,217.5,2026-01-16,4.376741722596098,68.0,0.0767417225960969,63.7,3.2651728031691194,0.8162932007922798,24.896992991198026,0.0030823691288031385,False
ORCL,2026-01-12,economic,no_positive_net_scenario,,,,,,,,,,,
ORCL,2026-01-12,mechanical,selected,230.0,2026-01-23,4.393979765044621,85.0,-7.906020234955376,72.7,2.799145046454182,0.6997862616135455,22.37546199383106,-0.35333439091157426,False
ORCL,2026-01-13,economic,no_positive_net_scenario,,,,,,,,,,,
ORCL,2026-01-13,mechanical,selected,225.0,2026-01-23,2.132139851262786,72.0,-11.167860148737212,58.7,1.4791260958952779,0.36978152397381947,20.78342681760068,-0.537344502749642,False
ORCL,2026-01-14,economic,no_positive_net_scenario,,,,,,,,,,,
ORCL,2026-01-14,mechanical,selected,212.5,2026-01-23,1.9586898829880548,67.0,-9.341310117011954,55.7,1.4818271477513745,0.3704567869378436,20.61589651413742,-0.45311200076145697,False
ORCL,2026-01-15,economic,no_positive_net_scenario,,,,,,,,,,,
ORCL,2026-01-15,mechanical,selected,207.5,2026-01-23,1.3477864001586317,60.0,-4.952213599841371,53.699999999999996,0.9808224434298296,0.2452056108574574,23.77721597657427,-0.20827558637312202,False
ORCL,2026-01-16,economic,no_positive_net_scenario,,,,,,,,,,,
ORCL,2026-01-16,mechanical,selected,220.0,2026-01-30,2.715503959150337,64.0,-2.5844960408496647,58.7,1.8973062880025982,0.47432657200064954,17.987820047606863,-0.14368033669502445,False
ORCL,2026-01-20,economic,no_positive_net_scenario,,,,,,,,,,,
ORCL,2026-01-20,mechanical,selected,202.5,2026-01-30,0.0,83.0,-11.299999999999997,71.7,-0.7118378061009012,0.0,21.078973764212677,-0.5360792288277733,False
ORCL,2026-01-21,economic,no_positive_net_scenario,,,,,,,,,,,
ORCL,2026-01-21,mechanical,selected,195.0,2026-01-30,0.36621438441676796,67.0,-10.93378561558324,55.7,0.3108249975979138,0.07770624939947846,19.152745066209977,-0.5708730303560011,False
ORCL,2026-01-22,economic,no_positive_net_scenario,,,,,,,,,,,
ORCL,2026-01-22,mechanical,selected,197.5,2026-01-30,0.017840582136958463,60.0,-6.282159417863044,53.699999999999996,0.015710569987359424,0.003927642496839856,19.124304698442344,-0.32849086630452606,False
ORCL,2026-01-23,economic,no_positive_net_scenario,,,,,,,,,,,
ORCL,2026-01-23,mechanical,selected,195.0,2026-01-30,0.6088857061187185,55.00000000000001,-6.691114293881284,47.7,0.5774951832759889,0.14437379581899723,19.32216348648058,-0.3462921892034996,False
ORCL,2026-01-26,economic,selected,250.0,2026-02-20,5.853062350155022,27.0,0.5530623501550203,21.7,10.071501406538264,2.517875351634566,4.086369523013979,0.13534320551292156,False
ORCL,2026-01-26,mechanical,selected,210.0,2026-02-06,2.809478205277357,70.0,-6.490521794722637,60.7,1.9915802662829774,0.49789506657074434,18.27270129731223,-0.3552031902189164,False
ORCL,2026-01-27,economic,no_positive_net_scenario,,,,,,,,,,,
ORCL,2026-01-27,mechanical,selected,200.0,2026-02-06,2.282488105172693,74.0,-4.01751189482731,67.7,1.7945055872325977,0.4486263968081494,18.479949432611182,-0.21739842468062656,False
ORCL,2026-01-28,economic,selected,220.0,2026-02-20,6.50474425550849,66.0,0.20474425550848707,59.7,5.033287187313706,1.2583217968284266,11.58859530973107,0.017667737118799987,False
ORCL,2026-01-28,mechanical,selected,200.0,2026-02-06,5.2424670940342635,66.0,-0.057532905965738124,60.7,4.391240965966792,1.097810241491698,17.242378680989333,-0.003336715138333628,False
ORCL,2026-01-29,economic,no_positive_net_scenario,,,,,,,,,,,
ORCL,2026-01-29,mechanical,selected,190.0,2026-02-06,0.2323246837735525,69.0,-7.067675316226439,61.7,0.21464190213517087,0.05366047553379272,18.15598559427175,-0.3892752216357951,False
ORCL,2026-01-30,economic,no_positive_net_scenario,,,,,,,,,,,
ORCL,2026-01-30,mechanical,selected,185.0,2026-02-06,1.4208286824270446,55.00000000000001,-5.8791713175729585,47.7,1.4523940112821876,0.3630985028205469,16.710887834790338,-0.3518168140254722,False
ORCL,2026-02-02,economic,no_positive_net_scenario,,,,,,,,,,,
ORCL,2026-02-02,mechanical,selected,187.5,2026-02-13,0.0,94.0,-32.29999999999999,61.7,-1.1453887899785964,0.0,18.85966191058262,-1.712650001529225,False
ORCL,2026-02-03,economic,no_positive_net_scenario,,,,,,,,,,,
ORCL,2026-02-03,mechanical,selected,180.0,2026-02-13,2.47730317163116,72.0,-5.822696828368834,63.7,2.214731750386434,0.5536829375966085,15.51130610366816,-0.3753840449961764,False
ORCL,2026-02-04,economic,no_positive_net_scenario,,,,,,,,,,,
ORCL,2026-02-04,mechanical,selected,172.5,2026-02-13,0.0,72.0,-15.3,56.7,-0.5925877942797753,0.0,15.175868029229223,-1.0081795631414094,False
ORCL,2026-02-05,economic,no_positive_net_scenario,,,,,,,,,,,
ORCL,2026-02-05,mechanical,selected,157.5,2026-02-13,0.0,78.0,-13.299999999999997,64.7,-1.4895163509110132,0.0,15.740339270557726,-0.8449627273840038,False
ORCL,2026-03-11,economic,no_positive_net_scenario,,,,,,,,,,,
ORCL,2026-03-11,mechanical,selected,185.0,2026-03-20,0.0,75.0,-10.299999999999994,64.7,-1.9556634074379242,0.0,18.28580578714661,-0.5632784313634147,False
ORCL,2026-03-12,economic,no_positive_net_scenario,,,,,,,,,,,
ORCL,2026-03-12,mechanical,selected,180.0,2026-03-20,0.0,62.0,-6.3000000000000025,55.7,-1.0329369273772815,0.0,16.495884273046123,-0.38191344554314377,False
ORCL,2026-03-13,economic,no_positive_net_scenario,,,,,,,,,,,
ORCL,2026-03-13,mechanical,selected,172.5,2026-03-20,0.0,56.00000000000001,-6.3000000000000025,49.7,-2.4557642564596804,0.0,17.442467671855773,-0.3611874259148173,False
ORCL,2026-03-16,economic,no_positive_net_scenario,,,,,,,,,,,
ORCL,2026-03-16,mechanical,selected,177.5,2026-03-27,0.0,68.0,-9.300000000000004,58.7,-3.583724845790015,0.0,16.505325256997367,-0.5634545127220263,False
ORCL,2026-03-17,economic,no_positive_net_scenario,,,,,,,,,,,
ORCL,2026-03-17,mechanical,selected,172.5,2026-03-27,0.0,65.0,-11.300000000000008,53.699999999999996,-2.694348778812028,0.0,17.773056910071016,-0.6357938342951526,False
ORCL,2026-03-18,economic,no_positive_net_scenario,,,,,,,,,,,
ORCL,2026-03-18,mechanical,selected,170.0,2026-03-27,0.0,66.0,-10.300000000000006,55.7,-3.7502206370904845,0.0,19.034072350675185,-0.5411348559697284,False
ORCL,2026-03-19,economic,no_positive_net_scenario,,,,,,,,,,,
